text,mood,textID,sentiment,selected_text
i didnt feel humiliated,sadness,522150281,negative,i didnt feel humiliated
i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,sadness,6436970935,negative,hopeless
im grabbing a minute to post i feel greedy wrong,anger,9166060804,negative,i feel greedy wrong
i am ever feeling nostalgic about the fireplace i will know that it is still on the property,love,9656956790,positive,nostalgic
i am feeling grouchy,anger,7113542146,negative,i am feeling grouchy
ive been feeling a little burdened lately wasnt sure why that was,sadness,4728083909,negative,ive been feeling a little burdened
ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,surprise,83697914,positive,funny
i feel as confused about life as a teenager or as jaded as a year old man,fear,724237927,negative,confused about
i have been with petronas for years i feel that petronas has performed well and made a huge profit,joy,5472781921,positive,i feel that petronas has performed well and made a huge profit
i feel romantic too,love,2490553804,positive,i feel romantic too
i feel like i have to make the suffering i m seeing mean something,sadness,3113784995,negative,suffering
i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,joy,1980364255,positive,i do feel that running is a divine experience
i think it s the easiest time of year to feel dissatisfied,anger,3981004063,negative,dissatisfied
i feel low energy i m just thirsty,sadness,2768781958,negative,i feel low energy
i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,joy,9070963724,positive,this feels a little precious
i do not feel reassured anxiety is on each side,joy,6786680604,positive,i do not feel reassured
i didnt really feel that embarrassed,sadness,9166040743,negative,i didnt really feel that embarrassed
i feel pretty pathetic most of the time,sadness,7264039109,negative,pathetic
i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,sadness,869033082,negative,sentimental
i now feel compromised and skeptical of the value of every unit of work i put in,fear,6137073149,negative,compromised
i feel irritated and rejected without anyone doing anything or saying anything,anger,58998806,negative,irritated
i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,fear,2077031590,negative,overwhelmed
i have the feeling she was amused and delighted,joy,8173384404,positive,she was amused and delighted
i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,joy,2382675658,positive,i am so glad
i already feel like i fucked up though because i dont usually eat at all in the morning,anger,5807190319,negative,fucked
i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,sadness,6636544785,negative,i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed
i feel so inhibited in someone elses kitchen like im painting on someone elses picture,sadness,3036997896,negative,inhibited
i become overwhelmed and feel defeated,sadness,4957853839,negative,i become overwhelmed and feel defeated
i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,anger,2231598548,negative,appalled
i feel more superior dead chicken or grieving child,joy,8251311968,positive,superior
i get giddy over feeling elegant in a perfectly fitted pencil skirt,joy,4691892586,positive,elegant
i remember feeling acutely distressed for a few days,fear,5109316564,negative,acutely distressed
i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies,surprise,4484425791,positive,i am left feeling impressed
i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,anger,9805617230,negative,frustrated
i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,joy,4674437018,positive,safe
i am not sure what would make me feel content if anything,joy,944510243,positive,i am not sure what would make me feel content
i have been feeling the need to be creative,joy,6557593557,positive,i have been feeling the need to be creative
i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them,joy,7278408401,positive,your splendid self step away from them
i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,anger,4869719762,negative,greedy
i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words,joy,1692815105,positive,feel safe
i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired,joy,9098492792,positive,and hope you will also feel inspired
i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book,joy,266436307,positive,festive
ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect,joy,284444955,positive,brave but dont want to be pale then its perfect
i feel very strongly passionate about when some jerk off decides to poke and make fun of us,joy,4023464588,positive,i feel very strongly passionate about when some jerk off decides to poke and make fun of us
i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way,sadness,6387172395,negative,discouraged
i was feeling listless from the need of new things something different,sadness,1149755687,negative,i was feeling listless
i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special,joy,267535617,positive,i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special
i can t let go of that sad feeling that i want to be accepted here in this first home of mine,love,1340265190,positive,i can t let go of that sad feeling that i want to be accepted here in this first home of mine
on a boat trip to denmark,joy,4847291597,positive,on a boat trip to denmark
i stopped feeling cold and began feeling hot,anger,1467394311,negative,i stopped feeling cold and began feeling hot
i need to feel the dough to make sure its just perfect,joy,2438927472,positive,perfect
i found myself feeling a little discouraged that morning,sadness,4844992879,negative,discouraged
i feel selfish and spoiled,anger,9789577830,negative,i feel selfish and spoiled
i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended,fear,2231738293,negative,stymied a little bit as i wrote feeling unsure
i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u,joy,2535128844,positive,good
i feel you know basically like a fake in the realm of science fiction,sadness,729819447,negative,fake
i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave,sadness,4029450473,negative,i hate
i keep feeling pleasantly surprised at his supportiveness and also his ease in new situations,surprise,9415534668,positive,i keep feeling pleasantly surprised
i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off,joy,3055450664,positive,yes i misspelt that as cumming days parts of me will begin to fall off
i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal,joy,5519521767,positive,loving
i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff,joy,2212353057,positive,extremely popular
i ate i could feel a gentle tingle throughout almost as if i was feeling the healing taking place at a cellular level,love,9998816395,positive,gentle tingle throughout
i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants,fear,4167435730,negative,pressured
i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations,fear,6957813060,negative,tortured
i am now nearly finished the week detox and i feel amazing,surprise,2972039290,positive,i feel amazing
i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own,anger,8969094999,negative,selfish
i know the pain parents feel when an enraged child becomes violent,anger,7049017812,negative,i know the pain parents feel when an enraged child becomes violent
i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming,sadness,2342838627,negative,something unpleasant was coming
i suppose my own truth needs to be shared i havent been feeling very faithful lately ive dwelled more in doubt and uncertainty than i have in faith,love,395978119,positive,faithful
i was feeling brave when i bought it and clearly when i was doing my makeup,joy,5163253160,positive,brave
i am feeling miserable but c i am also the proudest mum on earth,sadness,3219564158,negative,i am feeling miserable
i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic,sadness,3394494628,negative,embarrassed
i don t necessarily think f bombs and sex are necessary in all stories but i feel reassured when i see them in print journals,joy,2065801964,positive,reassured
i can feel my ovaries aching talking to me as i like to put it,sadness,3512402898,negative,aching
i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff,sadness,9719521463,negative,unimportant stuff
im tired of the book and ready to have it out of here and finding out that i was given unsuitable images and then feeling blamed for the result did not sit well,sadness,2477469180,negative,tired
i did successfully manage to stretch a mxm canvas i feel that this is an achievement in itself for me and was a worthwhile usage of my money and time i will use the canvas for future briefs,joy,294669964,positive,worthwhile
i think feelings are one of nay the most important things we have,joy,8019140288,positive,most important things we have
i feel completely honored to be an influence to this young talented fully alive beautiful girl woman,joy,2852490966,positive,honored
i feel angered and firey,anger,7897799116,negative,angered
i feel like a miserable piece of garbage,sadness,6591024476,negative,miserable
i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,anger,5380871318,negative,appalled
i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,anger,3267728316,negative,rushed
i remember feeling so hellip furious with the shooter,anger,4936057637,negative,hellip furious
i feel very happy and excited since i learned so many things,joy,4051993478,positive,i feel very happy and excited
i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently,joy,8190394515,positive,relaxed
i only have a couple of things left to make and at the start of december i am done and feeling smug,joy,702697996,positive,i am done and feeling smug
i think about how u could make me feel and realize that everything will be ok,joy,5471413021,positive,realize that everything will be ok
i feel so worthless during those times i was struggling finding work,sadness,9156023931,negative,worthless
i will be able to lay on my bed in the dark and not feel terrified at least for a while,fear,9565552932,negative,i will be able to lay on my bed in the dark and not feel terrified
i was ready to meet mom in the airport and feel her ever supportive arms around me,love,9272764301,positive,ever supportive
